Character,Mandarin,Cantonese,Wu
一,yī-yi1,yāt-jat1,4iq-iq7
二,èr-er4,yih-ji6,3nyi-gni6
三,sān-san1,sāam-saam1,1se-se1
四,sì-si4,sei-sei3,2sr-sy5
北,běi-bei3,bāk-bak1,4poq-poq7
西,xī-xi1,sāi-sai1,1xi-shi1
南,nán-nan2,nàahm-naam4,3noe-noe6
東-东,dōng-dong1,dūng-dung1,1ton-ton1
中,zhōng-zhong1,jūng-zung1,1tson-tson1
丁,dīng-ding1,dīng-ding1,1tin-tin1
愛,ài-ai4,oi-oi3,2e-e5
我,wǒ-wo3,ngóh-ngoh5,3ngu-ngu1
林,lín-lin2,làhm-lam4,3lin-lin6
森,sēn-sen1,sām-sam1,1sen-sen1
漢-汉,hàn-han4,hon-hon3,2hoe-hoe5
堡,bǎo-bao3,bóu-bou2,2pau-pau5
國-国,guó-guo2,gwok-gwok3,4koq-koq7
水,shuǐ-shui3,séui-seoi2,2sr-sy5
書-书,shū-shu1,syū-syu1,1sr-sy1
家,jiā-jiā,gā-gaa1,1ka-ka1
父,fù-fu4,fuh-fu6,3vu-vu6
回,huí-hui2,wùih-wui4,3hhue-we6
明,míng-ming2,mìhng-ming4,3men-min6
月,yuè-yue4,yuht-jyut6,5hhyq-gnioq8
日,rì-ri4,yaht-jat6,5nyiq-zeq8
夜,yè-ye4,yeh-je6,3hhia-ya6
新,xīn-xin1,sān-san1,1xin-shin1
上,shàng-shang4,seuhng-soeng6,3zaan-zaon6
年,nián-nian2,nìhn-nin4,3nyi-gni6
鳥-鸟,niǎo-niao3,níuh-niu5,2tiau-tiau5
他,tā-ta1,tā-taa1,1tha-tha1
去,qù-qu4,heui-heoi3,2qi-chi5
魚-鱼,yú-yu2,yùh-jyu4,3hhngg-yu6
天,tiān-tian1,tīn-tin1,1thi-thi1
